date,bitcoin,btc,isPartial,search_volume,Media_Saturation
2017-05-01,4,1,False,5,
2017-05-02,4,1,False,5,
2017-05-03,4,1,False,5,
2017-05-04,5,2,False,7,
2017-05-05,5,2,False,7,
2017-05-06,4,1,False,5,
2017-05-07,4,1,False,5,
2017-05-08,5,1,False,6,19.999999999999996
2017-05-09,6,2,False,8,60.00000000000001
2017-05-10,6,2,False,8,60.00000000000001
2017-05-11,6,2,False,8,14.28571428571428
2017-05-12,7,2,False,9,28.57142857142858
2017-05-13,7,2,False,9,80.0
2017-05-14,6,1,False,7,39.99999999999999
2017-05-15,9,2,False,11,83.33333333333333
2017-05-16,8,1,False,9,12.5
2017-05-17,7,2,False,9,12.5
2017-05-18,6,1,False,7,-12.5
2017-05-19,7,2,False,9,0.0
2017-05-20,6,2,False,8,-11.111111111111116
2017-05-21,7,2,False,9,28.57142857142858
2017-05-22,11,2,False,13,18.181818181818187
2017-05-23,11,2,False,13,44.44444444444444
2017-05-24,12,3,False,15,66.66666666666667
2017-05-25,17,3,False,20,185.71428571428572
2017-05-26,13,3,False,16,77.77777777777777
2017-05-27,11,2,False,13,62.5
2017-05-28,8,2,False,10,11.111111111111116
2017-05-29,8,2,False,10,-23.076923076923073
2017-05-30,8,2,False,10,-23.076923076923073
2017-05-31,8,2,False,10,-33.333333333333336
2017-06-01,8,2,False,10,-50.0
2017-06-02,7,2,False,9,-43.75
2017-06-03,6,2,False,8,-38.46153846153846
2017-06-04,6,2,False,8,-19.999999999999996
2017-06-05,7,2,False,9,-9.999999999999998
2017-06-06,9,2,False,11,10.000000000000009
2017-06-07,9,2,False,11,10.000000000000009
2017-06-08,8,2,False,10,0.0
2017-06-09,7,2,False,9,0.0
2017-06-10,7,2,False,9,12.5
2017-06-11,7,2,False,9,12.5
2017-06-12,9,2,False,11,22.222222222222232
2017-06-13,8,2,False,10,-9.090909090909093
2017-06-14,8,2,False,10,-9.090909090909093
2017-06-15,10,3,False,13,30.000000000000004
2017-06-16,8,2,False,10,11.111111111111116
2017-06-17,7,2,False,9,0.0
2017-06-18,6,2,False,8,-11.111111111111116
2017-06-19,7,2,False,9,-18.181818181818176
2017-06-20,7,2,False,9,-9.999999999999998
2017-06-21,7,2,False,9,-9.999999999999998
2017-06-22,7,2,False,9,-30.76923076923077
2017-06-23,6,2,False,8,-19.999999999999996
2017-06-24,6,2,False,8,-11.111111111111116
2017-06-25,6,2,False,8,0.0
2017-06-26,7,2,False,9,0.0
2017-06-27,8,2,False,10,11.111111111111116
2017-06-28,8,2,False,10,11.111111111111116
2017-06-29,6,2,False,8,-11.111111111111116
2017-06-30,6,2,False,8,0.0
2017-07-01,5,2,False,7,-12.5
2017-07-02,5,2,False,7,-12.5
2017-07-03,6,2,False,8,-11.111111111111116
2017-07-04,6,2,False,8,-19.999999999999996
2017-07-05,5,2,False,7,-30.000000000000004
2017-07-06,6,2,False,8,0.0
2017-07-07,5,2,False,7,-12.5
2017-07-08,5,2,False,7,0.0
2017-07-09,5,2,False,7,0.0
2017-07-10,6,2,False,8,0.0
2017-07-11,7,2,False,9,12.5
2017-07-12,6,2,False,8,14.28571428571428
2017-07-13,6,2,False,8,0.0
2017-07-14,6,2,False,8,14.28571428571428
2017-07-15,7,2,False,9,28.57142857142858
2017-07-16,8,2,False,10,42.85714285714286
2017-07-17,7,2,False,9,12.5
2017-07-18,7,2,False,9,0.0
2017-07-19,7,2,False,9,12.5
2017-07-20,7,2,False,9,12.5
2017-07-21,7,2,False,9,12.5
2017-07-22,7,2,False,9,0.0
2017-07-23,6,2,False,8,-19.999999999999996
2017-07-24,6,2,False,8,-11.111111111111116
2017-07-25,7,2,False,9,0.0
2017-07-26,7,2,False,9,0.0
2017-07-27,6,2,False,8,-11.111111111111116
2017-07-28,7,2,False,9,0.0
2017-07-29,6,2,False,8,-11.111111111111116
2017-07-30,6,2,False,8,0.0
2017-07-31,8,2,False,10,25.0
2017-08-01,14,3,False,17,88.88888888888889
2017-08-02,12,2,False,14,55.55555555555556
2017-08-03,8,2,False,10,25.0
2017-08-04,7,2,False,9,0.0
2017-08-05,9,2,False,11,37.5
2017-08-06,8,2,False,10,25.0
2017-08-07,9,2,False,11,10.000000000000009
2017-08-08,10,2,False,12,-29.411764705882348
2017-08-09,9,2,False,11,-21.42857142857143
2017-08-10,7,2,False,9,-9.999999999999998
2017-08-11,9,2,False,11,22.222222222222232
2017-08-12,10,2,False,12,9.090909090909083
2017-08-13,13,3,False,16,60.00000000000001
2017-08-14,14,3,False,17,54.54545454545454
2017-08-15,14,3,False,17,41.66666666666667
2017-08-16,12,2,False,14,27.27272727272727
2017-08-17,12,3,False,15,66.66666666666667
2017-08-18,11,2,False,13,18.181818181818187
2017-08-19,11,2,False,13,8.333333333333325
2017-08-20,10,2,False,12,-25.0
2017-08-21,9,2,False,11,-35.29411764705882
2017-08-22,11,2,False,13,-23.529411764705888
2017-08-23,10,2,False,12,-14.28571428571429
2017-08-24,10,2,False,12,-19.999999999999996
2017-08-25,10,2,False,12,-7.692307692307687
2017-08-26,9,2,False,11,-15.384615384615385
2017-08-27,8,2,False,10,-16.666666666666664
2017-08-28,9,4,False,13,18.181818181818187
2017-08-29,11,4,False,15,15.384615384615374
2017-08-30,10,3,False,13,8.333333333333325
2017-08-31,11,3,False,14,16.666666666666675
2017-09-01,13,3,False,16,33.33333333333333
2017-09-02,12,3,False,15,36.36363636363635
2017-09-03,10,2,False,12,19.999999999999996
2017-09-04,13,3,False,16,23.076923076923084
2017-09-05,13,3,False,16,6.666666666666665
2017-09-06,11,3,False,14,7.692307692307687
2017-09-07,10,2,False,12,-14.28571428571429
2017-09-08,11,2,False,13,-18.75
2017-09-09,9,2,False,11,-26.66666666666667
2017-09-10,9,2,False,11,-8.333333333333337
2017-09-11,10,2,False,12,-25.0
2017-09-12,10,2,False,12,-25.0
2017-09-13,14,3,False,17,21.42857142857142
2017-09-14,16,3,False,19,58.33333333333333
2017-09-15,19,4,False,23,76.92307692307692
2017-09-16,12,3,False,15,36.36363636363635
2017-09-17,9,2,False,11,0.0
2017-09-18,11,2,False,13,8.333333333333325
2017-09-19,11,2,False,13,8.333333333333325
2017-09-20,9,2,False,11,-35.29411764705882
2017-09-21,10,2,False,12,-36.8421052631579
2017-09-22,9,2,False,11,-52.17391304347826
2017-09-23,7,2,False,9,-40.0
2017-09-24,7,2,False,9,-18.181818181818176
2017-09-25,8,2,False,10,-23.076923076923073
2017-09-26,8,2,False,10,-23.076923076923073
2017-09-27,8,2,False,10,-9.090909090909093
2017-09-28,8,2,False,10,-16.666666666666664
2017-09-29,8,2,False,10,-9.090909090909093
2017-09-30,7,2,False,9,0.0
2017-10-01,7,2,False,9,0.0
2017-10-02,8,2,False,10,0.0
2017-10-03,8,2,False,10,0.0
2017-10-04,8,2,False,10,0.0
2017-10-05,7,2,False,9,-9.999999999999998
2017-10-06,7,2,False,9,-9.999999999999998
2017-10-07,7,2,False,9,0.0
2017-10-08,7,2,False,9,0.0
2017-10-09,9,2,False,11,10.000000000000009
2017-10-10,9,2,False,11,10.000000000000009
2017-10-11,9,2,False,11,10.000000000000009
2017-10-12,15,3,False,18,100.0
2017-10-13,18,4,False,22,144.44444444444446
2017-10-14,13,2,False,15,66.66666666666667
2017-10-15,12,3,False,15,66.66666666666667
2017-10-16,12,2,False,14,27.27272727272727
2017-10-17,11,2,False,13,18.181818181818187
2017-10-18,11,2,False,13,18.181818181818187
2017-10-19,11,2,False,13,-27.77777777777778
2017-10-20,13,3,False,16,-27.27272727272727
2017-10-21,15,3,False,18,19.999999999999996
2017-10-22,12,2,False,14,-6.666666666666665
2017-10-23,14,3,False,17,21.42857142857142
2017-10-24,15,3,False,18,38.46153846153846
2017-10-25,14,3,False,17,30.76923076923077
2017-10-26,13,3,False,16,23.076923076923084
2017-10-27,11,2,False,13,-18.75
2017-10-28,10,2,False,12,-33.333333333333336
2017-10-29,11,2,False,13,-7.14285714285714
2017-10-30,13,2,False,15,-11.764705882352944
2017-10-31,15,3,False,18,0.0
2017-11-01,18,3,False,21,23.529411764705888
2017-11-02,25,4,False,29,81.25
2017-11-03,21,4,False,25,92.3076923076923
2017-11-04,17,3,False,20,66.66666666666667
2017-11-05,17,3,False,20,53.846153846153854
2017-11-06,18,3,False,21,39.99999999999999
2017-11-07,17,3,False,20,11.111111111111116
2017-11-08,18,4,False,22,4.761904761904767
2017-11-09,17,3,False,20,-31.034482758620683
2017-11-10,20,4,False,24,-4.0000000000000036
2017-11-11,20,4,False,24,19.999999999999996
2017-11-12,25,4,False,29,44.99999999999999
2017-11-13,22,4,False,26,23.809523809523814
2017-11-14,17,3,False,20,0.0
2017-11-15,17,3,False,20,-9.090909090909093
2017-11-16,18,4,False,22,10.000000000000009
2017-11-17,19,4,False,23,-4.1666666666666625
2017-11-18,15,3,False,18,-25.0
2017-11-19,15,3,False,18,-37.93103448275862
2017-11-20,19,4,False,23,-11.538461538461542
2017-11-21,20,4,False,24,19.999999999999996
2017-11-22,17,3,False,20,0.0
2017-11-23,17,3,False,20,-9.090909090909093
2017-11-24,15,3,False,18,-21.739130434782606
2017-11-25,17,3,False,20,11.111111111111116
2017-11-26,24,4,False,28,55.55555555555556
2017-11-27,32,5,False,37,60.86956521739131
2017-11-28,37,6,False,43,79.16666666666667
2017-11-29,63,9,False,72,260.0
2017-11-30,52,7,False,59,195.00000000000003
2017-12-01,38,6,False,44,144.44444444444446
2017-12-02,30,6,False,36,80.0
2017-12-03,31,5,False,36,28.57142857142858
2017-12-04,33,5,False,38,2.7027027027026973
2017-12-05,36,6,False,42,-2.3255813953488413
2017-12-06,46,7,False,53,-26.388888888888886
2017-12-07,93,14,False,107,81.35593220338984
2017-12-08,88,13,False,101,129.54545454545453
2017-12-09,56,9,False,65,80.55555555555556
2017-12-10,54,8,False,62,72.22222222222223
2017-12-11,69,9,False,78,105.26315789473686
2017-12-12,63,9,False,72,71.42857142857142
2017-12-13,54,8,False,62,16.981132075471695
2017-12-14,47,8,False,55,-48.5981308411215
2017-12-15,43,7,False,50,-50.495049504950494
2017-12-16,42,8,False,50,-23.076923076923073
2017-12-17,48,8,False,56,-9.677419354838712
2017-12-18,47,8,False,55,-29.487179487179482
2017-12-19,52,8,False,60,-16.666666666666664
2017-12-20,68,10,False,78,25.806451612903224
2017-12-21,52,9,False,61,10.909090909090914
2017-12-22,100,14,False,114,127.99999999999999
2017-12-23,64,11,False,75,50.0
2017-12-24,46,9,False,55,-1.7857142857142905
