realized_cap,date
2976.64,2010-08-16
4610.26,2010-08-17
6069.77,2010-08-18
6996.67,2010-08-19
7998.16,2010-08-20
9412.99,2010-08-21
10336.66,2010-08-22
11311.53,2010-08-23
12420.33,2010-08-24
13277.88,2010-08-25
14098.01,2010-08-26
15001.92,2010-08-27
15492.33,2010-08-28
16025.83,2010-08-29
16513.69,2010-08-30
18132.59,2010-08-31
18719.82,2010-09-01
19269.5,2010-09-02
19901.18,2010-09-03
20524.45,2010-09-04
24164.86,2010-09-05
24985.17,2010-09-06
25592.94,2010-09-07
26135.25,2010-09-08
27326.72,2010-09-09
27874.81,2010-09-10
28337.33,2010-09-11
29047.88,2010-09-12
29707.42,2010-09-13
30400.31,2010-09-14
31378.84,2010-09-15
32658.11,2010-09-16
34874.09,2010-09-17
35631.76,2010-09-18
36280.6,2010-09-19
37084.02,2010-09-20
37655.23,2010-09-21
38272.24,2010-09-22
39120.61,2010-09-23
39858.24,2010-09-24
40778.73,2010-09-25
41405.22,2010-09-26
43098.22,2010-09-27
46710.5,2010-09-28
47465.62,2010-09-29
47968.61,2010-09-30
50045.52,2010-10-01
56662.06,2010-10-02
57065.06,2010-10-03
57621.83,2010-10-04
59450.43,2010-10-05
59972.48,2010-10-06
60562.98,2010-10-07
63468.64,2010-10-08
67515.31,2010-10-09
71109.74,2010-10-10
73267.13,2010-10-11
73958.64,2010-10-12
76706.49,2010-10-13
78505.09,2010-10-14
81742.39,2010-10-15
84959.99,2010-10-16
86520.46,2010-10-17
88114.79,2010-10-18
89680.0,2010-10-19
91572.47,2010-10-20
94551.05,2010-10-21
95942.9,2010-10-22
97623.31,2010-10-23
100356.7,2010-10-24
104428.03,2010-10-25
109290.87,2010-10-26
116063.17,2010-10-27
126727.56,2010-10-28
130300.11,2010-10-29
134278.47,2010-10-30
138384.6,2010-10-31
140872.52,2010-11-01
144468.33,2010-11-02
147342.0,2010-11-03
158896.12,2010-11-04
164792.74,2010-11-05
187561.5,2010-11-06
196971.34,2010-11-07
240193.49,2010-11-08
244562.48,2010-11-09
244913.64,2010-11-10
247617.18,2010-11-11
250295.35,2010-11-12
256265.58,2010-11-13
261734.45,2010-11-14
273849.54,2010-11-15
276885.98,2010-11-16
280593.64,2010-11-17
285140.58,2010-11-18
289678.62,2010-11-19
293831.05,2010-11-20
296293.57,2010-11-21
299193.25,2010-11-22
302419.56,2010-11-23
306361.53,2010-11-24
311394.02,2010-11-25
312836.69,2010-11-26
316021.79,2010-11-27
318611.72,2010-11-28
320836.25,2010-11-29
321783.74,2010-11-30
322397.54,2010-12-01
328262.97,2010-12-02
330841.35,2010-12-03
333251.35,2010-12-04
336262.29,2010-12-05
339261.23,2010-12-06
343907.65,2010-12-07
346808.86,2010-12-08
349036.01,2010-12-09
350494.6,2010-12-10
352378.07,2010-12-11
354224.91,2010-12-12
357409.89,2010-12-13
359545.78,2010-12-14
363855.44,2010-12-15
366752.48,2010-12-16
369078.25,2010-12-17
371960.86,2010-12-18
374279.84,2010-12-19
379701.25,2010-12-20
388803.33,2010-12-21
391095.26,2010-12-22
393269.28,2010-12-23
395046.17,2010-12-24
397943.84,2010-12-25
400205.14,2010-12-26
402619.6,2010-12-27
405654.09,2010-12-28
413657.98,2010-12-29
417467.19,2010-12-30
420144.74,2010-12-31
423229.59,2011-01-01
427750.25,2011-01-02
431328.08,2011-01-03
433583.74,2011-01-04
436632.9,2011-01-05
439348.29,2011-01-06
442961.26,2011-01-07
447006.53,2011-01-08
450450.66,2011-01-09
458100.22,2011-01-10
470886.71,2011-01-11
474634.6,2011-01-12
486385.88,2011-01-13
494221.04,2011-01-14
498782.4,2011-01-15
506970.45,2011-01-16
512258.28,2011-01-17
514310.39,2011-01-18
521378.71,2011-01-19
526458.36,2011-01-20
532779.2,2011-01-21
540226.55,2011-01-22
552159.43,2011-01-23
559995.73,2011-01-24
565386.54,2011-01-25
575752.73,2011-01-26
665428.2,2011-01-27
672202.47,2011-01-28
683001.1,2011-01-29
688796.23,2011-01-30
706264.7,2011-01-31
738545.08,2011-02-01
772468.7,2011-02-02
783330.24,2011-02-03
800468.73,2011-02-04
822424.74,2011-02-05
849821.86,2011-02-06
895175.96,2011-02-07
908033.78,2011-02-08
941908.39,2011-02-09
962702.07,2011-02-10
990746.56,2011-02-11
1009370.81,2011-02-12
1027808.06,2011-02-13
1071470.45,2011-02-14
1087079.62,2011-02-15
1101887.75,2011-02-16
1116225.65,2011-02-17
1129637.34,2011-02-18
